year,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t
1984,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE,9.123351190725849,-9.123351190725856,18.246702381451705,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859
1988,democrat,FALSE,"Dukakis, Michael",45.54877735,46.167544710005984,FALSE,FALSE,FALSE,-3.832455289994016,9.123351190725849,-12.955806480719865,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095
1988,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE,3.832455289994016,-3.832455289994016,7.664910579988032,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095
1992,democrat,TRUE,"Clinton, Bill",42.88416955,53.62069583838034,FALSE,FALSE,FALSE,3.6206958383803425,3.832455289994016,-0.21175945161367338,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052
1992,republican,FALSE,"Bush, George H.W.",37.09272907,46.37930416161966,TRUE,TRUE,TRUE,-3.6206958383803425,3.6206958383803425,-7.241391676760685,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052
1996,democrat,TRUE,"Clinton, Bill",49.06674998,54.804024027865864,TRUE,TRUE,FALSE,4.804024027865864,-3.6206958383803425,8.424719866246207,5.408333333333332,0.008014836598934642,156.85833333333352,674.8475037499998,1.0880419028309358,11,6.002083333333334,0.006873739183753996,150.48541666666682,533.9604180833333,0.8235945634696913
1996,republican,FALSE,"Dole, Robert",40.46454056,45.195975972134136,FALSE,FALSE,FALSE,-4.804024027865864,4.804024027865864,-9.608048055731729,5.408333333333332,0.008014836598934642,156.85833333333352,674.8475037499998,1.0880419028309358,11,6.002083333333334,0.006873739183753996,150.48541666666682,533.9604180833333,0.8235945634696913
2000,democrat,FALSE,"Gore, Al",48.14325143,50.25952344926664,FALSE,TRUE,TRUE,0.25952344926663784,-4.804024027865864,5.063547477132502,3.966666666666665,0.01134795814557037,172.1916666666665,1419.7283325833325,0.7373424245146608,12,4.406249999999999,0.011012640062477961,165.57708333333326,1178.507918062499,1.0553259458781363
2000,republican,TRUE,"Bush, George W.",47.64605998,49.740476550733355,FALSE,FALSE,FALSE,-0.25952344926664495,0.25952344926663784,-0.5190468985332828,3.966666666666665,0.01134795814557037,172.1916666666665,1419.7283325833325,0.7373424245146608,12,4.406249999999999,0.011012640062477961,165.57708333333326,1178.507918062499,1.0553259458781363
2004,democrat,FALSE,"Kerry, John",48.0664567,48.73068404108468,FALSE,FALSE,FALSE,-1.2693159589153211,-0.25952344926664495,-1.0097925096486762,5.541666666666665,0.00880294553693157,188.9083333333335,1133.964986166665,0.8107064589568925,13,5.514583333333332,0.007588175360730238,182.45416666666668,1069.0583228750002,0.6087863131990616
2004,republican,TRUE,"Bush, George W.",50.5704856,51.26931595891532,TRUE,TRUE,FALSE,1.2693159589153211,-1.2693159589153211,2.5386319178306422,5.541666666666665,0.00880294553693157,188.9083333333335,1133.964986166665,0.8107064589568925,13,5.514583333333332,0.007588175360730238,182.45416666666668,1069.0583228750002,0.6087863131990616
2008,democrat,TRUE,"Obama, Barack H.",52.76155846,53.77076727938485,FALSE,FALSE,FALSE,3.770767279384849,1.2693159589153211,2.5014513204695277,5.8,0.00219968299551063,215.25425000000024,1215.2216593333358,-0.6908698953173065,14,5.027083333333334,0.004541164975422367,204.8558541666668,1304.8491592500002,0.3036128671172489
2008,republican,FALSE,"McCain, John",45.3615689,46.22923272061515,FALSE,TRUE,FALSE,-3.770767279384849,3.770767279384849,-7.541534558769698,5.8,0.00219968299551063,215.25425000000024,1215.2216593333358,-0.6908698953173065,14,5.027083333333334,0.004541164975422367,204.8558541666668,1304.8491592500002,0.3036128671172489
2012,democrat,TRUE,"Obama, Barack H.",50.87488268,51.915258039578795,TRUE,TRUE,TRUE,1.915258039578795,-3.770767279384849,5.686025318963644,8.075,0.0120888959971867,229.58608333333325,1386.5050048333326,0.36550393302059975,15,8.975,0.005845606769157154,221.78747916666663,1186.6149966041678,0.36311164967474124
2012,republican,FALSE,"Romney, Mitt",47.12112967,48.08474196042121,FALSE,FALSE,FALSE,-1.915258039578788,1.915258039578795,-3.830516079157583,8.075,0.0120888959971867,229.58608333333325,1386.5050048333326,0.36550393302059975,15,8.975,0.005845606769157154,221.78747916666663,1186.6149966041678,0.36311164967474124
2016,democrat,FALSE,"Clinton, Hillary",47.05731122,51.16249043797541,FALSE,TRUE,TRUE,1.162490437975407,-1.915258039578788,3.077748477554195,4.875,0.004501783594864396,239.9891666666665,2105.8275145833327,0.513006542786284,16,5.916666666666665,0.004782031304307833,236.66441666666657,1938.6162515624994,0.6028874322873031
2016,republican,TRUE,"Trump, Donald J.",44.91888231,48.83750956202459,FALSE,FALSE,FALSE,-1.162490437975407,1.162490437975407,-2.324980875950814,4.875,0.004501783594864396,239.9891666666665,2105.8275145833327,0.513006542786284,16,5.916666666666665,0.004782031304307833,236.66441666666657,1938.6162515624994,0.6028874322873031
