state,year,total,D,R,R_pv2p,D_pv2p,swing_r,swing_d,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term.x,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t,unemployment_loc_a,lfpr_loc_a,term.y,unemployment_loc_t,lfpr_loc_t,avg_support_10,avg_support_2,total_cost,R_pv2p_lag,D_pv2p_lag,pv2p_lag
Delaware,1980,235668,105754,111252,51.26678525017741,48.73321474982259,3.996923339489811,-3.996923339489811,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE,5.157558768126435,-5.157558768126442,10.315117536252878,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,7.608333333333333,64.50833333333333,7,7.66875,63.97083333333333,NA,NA,NA,47.2698619106876,52.7301380893124,47.2698619106876
Delaware,1984,254572,101656,152190,59.95367269919557,40.04632730080442,8.686887449018158,-8.686887449018165,democrat,FALSE,"Mondale, Walter",40.41861657,40.876648809274144,FALSE,FALSE,TRUE,-9.123351190725856,5.157558768126435,-14.280909958852291,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,6.308333333333334,66.36666666666666,8,7.566666666666666,65.32708333333333,NA,NA,NA,51.26678525017741,48.73321474982259,48.73321474982259
Delaware,1984,254572,101656,152190,59.95367269919557,40.04632730080442,8.686887449018158,-8.686887449018165,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE,9.123351190725849,-9.123351190725856,18.246702381451705,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,6.308333333333334,66.36666666666666,8,7.566666666666666,65.32708333333333,NA,NA,NA,51.26678525017741,48.73321474982259,51.26678525017741
Delaware,1988,249891,108647,139639,56.24118959586928,43.75881040413072,-3.712483103326292,3.7124831033262993,democrat,FALSE,"Dukakis, Michael",45.54877735,46.167544710005984,FALSE,FALSE,FALSE,-3.832455289994016,9.123351190725849,-12.955806480719865,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,3.1333333333333333,69.63333333333334,9,3.9270833333333335,68.1,NA,NA,NA,59.95367269919557,40.04632730080442,40.04632730080442
Delaware,1988,249891,108647,139639,56.24118959586928,43.75881040413072,-3.712483103326292,3.7124831033262993,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE,3.832455289994016,-3.832455289994016,7.664910579988032,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,3.1333333333333333,69.63333333333334,9,3.9270833333333335,68.1,NA,NA,NA,59.95367269919557,40.04632730080442,59.95367269919557
Delaware,1992,289620,126054,102313,44.80200729527471,55.19799270472529,-11.439182300594567,11.439182300594567,democrat,TRUE,"Clinton, Bill",42.88416955,53.62069583838034,FALSE,FALSE,FALSE,3.6206958383803425,3.832455289994016,-0.21175945161367338,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052,5.416666666666666,69.46666666666667,10,4.95625,69.9625,NA,NA,NA,56.24118959586928,43.75881040413072,43.75881040413072
Delaware,1992,289620,126054,102313,44.80200729527471,55.19799270472529,-11.439182300594567,11.439182300594567,republican,FALSE,"Bush, George H.W.",37.09272907,46.37930416161966,TRUE,TRUE,TRUE,-3.6206958383803425,3.6206958383803425,-7.241391676760685,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052,5.416666666666666,69.46666666666667,10,4.95625,69.9625,NA,NA,NA,56.24118959586928,43.75881040413072,56.24118959586928
Delaware,1996,270810,140355,99062,41.376343367430046,58.623656632569954,-3.425663927844667,3.425663927844667,democrat,TRUE,"Clinton, Bill",49.06674998,54.804024027865864,TRUE,TRUE,FALSE,4.804024027865864,-3.6206958383803425,8.424719866246207,5.408333333333332,0.008014836598934642,156.85833333333352,674.8475037499998,1.0880419028309358,11,6.002083333333334,0.006873739183753996,150.48541666666682,533.9604180833333,0.8235945634696913,5.091666666666667,68.675,11,4.814583333333333,69.725,NA,NA,NA,44.80200729527471,55.19799270472529,55.19799270472529
Delaware,1996,270810,140355,99062,41.376343367430046,58.623656632569954,-3.425663927844667,3.425663927844667,republican,FALSE,"Dole, Robert",40.46454056,45.195975972134136,FALSE,FALSE,FALSE,-4.804024027865864,4.804024027865864,-9.608048055731729,5.408333333333332,0.008014836598934642,156.85833333333352,674.8475037499998,1.0880419028309358,11,6.002083333333334,0.006873739183753996,150.48541666666682,533.9604180833333,0.8235945634696913,5.091666666666667,68.675,11,4.814583333333333,69.725,NA,NA,NA,44.80200729527471,55.19799270472529,44.80200729527471
Delaware,2000,327529,180068,137288,43.259935214711554,56.740064785288446,1.883591847281508,-1.883591847281508,democrat,FALSE,"Gore, Al",48.14325143,50.25952344926664,FALSE,TRUE,TRUE,0.25952344926663784,-4.804024027865864,5.063547477132502,3.966666666666665,0.01134795814557037,172.1916666666665,1419.7283325833325,0.7373424245146608,12,4.406249999999999,0.011012640062477961,165.57708333333326,1178.507918062499,1.0553259458781363,3.7583333333333333,69.25833333333333,12,3.720833333333333,68.10208333333333,NA,45.691373214285704,0,41.376343367430046,58.623656632569954,58.623656632569954
Delaware,2000,327529,180068,137288,43.259935214711554,56.740064785288446,1.883591847281508,-1.883591847281508,republican,TRUE,"Bush, George W.",47.64605998,49.740476550733355,FALSE,FALSE,FALSE,-0.25952344926664495,0.25952344926663784,-0.5190468985332828,3.966666666666665,0.01134795814557037,172.1916666666665,1419.7283325833325,0.7373424245146608,12,4.406249999999999,0.011012640062477961,165.57708333333326,1178.507918062499,1.0553259458781363,3.7583333333333333,69.25833333333333,12,3.720833333333333,68.10208333333333,NA,43.882707571428554,0,41.376343367430046,58.623656632569954,41.376343367430046
Delaware,2004,375190,200152,171660,46.1684937549084,53.83150624509161,2.908558540196843,-2.908558540196836,democrat,FALSE,"Kerry, John",48.0664567,48.73068404108468,FALSE,FALSE,FALSE,-1.2693159589153211,-0.25952344926664495,-1.0097925096486762,5.541666666666665,0.00880294553693157,188.9083333333335,1133.964986166665,0.8107064589568925,13,5.514583333333332,0.007588175360730238,182.45416666666668,1069.0583228750002,0.6087863131990616,3.9916666666666667,66.45,13,3.935416666666667,67.71041666666667,NA,NA,17835226.22,43.259935214711554,56.740064785288446,56.740064785288446
Delaware,2004,375190,200152,171660,46.1684937549084,53.83150624509161,2.908558540196843,-2.908558540196836,republican,TRUE,"Bush, George W.",50.5704856,51.26931595891532,TRUE,TRUE,FALSE,1.2693159589153211,-1.2693159589153211,2.5386319178306422,5.541666666666665,0.00880294553693157,188.9083333333335,1133.964986166665,0.8107064589568925,13,5.514583333333332,0.007588175360730238,182.45416666666668,1069.0583228750002,0.6087863131990616,3.9916666666666667,66.45,13,3.935416666666667,67.71041666666667,NA,NA,19386114.549999997,43.259935214711554,56.740064785288446,43.259935214711554
Delaware,2008,412412,255459,152374,37.36186135011144,62.63813864988855,-8.806632404796957,8.806632404796943,democrat,TRUE,"Obama, Barack H.",52.76155846,53.77076727938485,FALSE,FALSE,FALSE,3.770767279384849,1.2693159589153211,2.5014513204695277,5.8,0.00219968299551063,215.25425000000024,1215.2216593333358,-0.6908698953173065,14,5.027083333333334,0.004541164975422367,204.8558541666668,1304.8491592500002,0.3036128671172489,4.966666666666667,65.93333333333334,14,4.035416666666666,66.62291666666667,NA,59.140367125,0,46.1684937549084,53.83150624509161,53.83150624509161
Delaware,2008,412412,255459,152374,37.36186135011144,62.63813864988855,-8.806632404796957,8.806632404796943,republican,FALSE,"McCain, John",45.3615689,46.22923272061515,FALSE,TRUE,FALSE,-3.770767279384849,3.770767279384849,-7.541534558769698,5.8,0.00219968299551063,215.25425000000024,1215.2216593333358,-0.6908698953173065,14,5.027083333333334,0.004541164975422367,204.8558541666668,1304.8491592500002,0.3036128671172489,4.966666666666667,65.93333333333334,14,4.035416666666666,66.62291666666667,NA,35.265764375,0,46.1684937549084,53.83150624509161,46.1684937549084
Delaware,2012,413890,242584,165484,40.55304508072184,59.44695491927816,3.1911837306103976,-3.1911837306103905,democrat,TRUE,"Obama, Barack H.",50.87488268,51.915258039578795,TRUE,TRUE,TRUE,1.915258039578795,-3.770767279384849,5.686025318963644,8.075,0.0120888959971867,229.58608333333325,1386.5050048333326,0.36550393302059975,15,8.975,0.005845606769157154,221.78747916666663,1186.6149966041678,0.36311164967474124,7.208333333333333,61.983333333333334,15,7.845833333333333,62.516666666666666,NA,NA,2969163.1999999997,37.36186135011144,62.63813864988855,62.63813864988855
Delaware,2012,413890,242584,165484,40.55304508072184,59.44695491927816,3.1911837306103976,-3.1911837306103905,republican,FALSE,"Romney, Mitt",47.12112967,48.08474196042121,FALSE,FALSE,FALSE,-1.915258039578788,1.915258039578795,-3.830516079157583,8.075,0.0120888959971867,229.58608333333325,1386.5050048333326,0.36550393302059975,15,8.975,0.005845606769157154,221.78747916666663,1186.6149966041678,0.36311164967474124,7.208333333333333,61.983333333333334,15,7.845833333333333,62.516666666666666,NA,NA,11654632.959999999,37.36186135011144,62.63813864988855,37.36186135011144
